locality,species,month,year,socioeconomic_stratum,citizen_reports,abuse_cases,animals_seized,vet_emergencies,microchip_coverage,sterilization_rate,stray_density,prior_cases_6m,institutional_response_days,abandonment_risk
TEUSAQUILLO,CANINO,5,2023,5,5,8,3,11,0.6443,0.4013,30.83,2,1,LOW
BOSA,CANINO,5,2023,1,8,26,5,28,0.2159,0.1863,47.73,14,6,HIGH
SUMAPAZ,CANINO,10,2022,5,0,4,1,10,0.7208,0.1193,6.65,1,8,LOW
TUNJUELITO,CANINO,3,2024,1,11,18,5,14,0.1822,0.2671,47.93,11,8,MEDIUM
SANTA FE,CANINO,8,2023,1,6,9,2,24,0.4359,0.2743,29.02,10,5,MEDIUM
RAFAEL URIBE URIBE,FELINO,9,2023,3,6,16,6,25,0.1794,0.2808,49.07,8,6,HIGH
SAN CRISTÓBAL,FELINO,5,2024,2,4,15,6,28,0.2017,0.1635,43.75,11,5,MEDIUM
BOSA,CANINO,10,2023,2,14,21,7,24,0.1808,0.2819,47.14,8,11,HIGH
USME,CANINO,8,2024,3,13,20,4,33,0.1292,0.1519,48.2,20,7,HIGH
BOSA,CANINO,7,2023,1,15,20,7,28,0.0845,0.1623,59.65,15,5,HIGH
LOS MÁRTIRES,CANINO,12,2024,1,9,16,0,20,0.2706,0.2897,46.85,11,9,HIGH
CIUDAD BOLÍVAR,CANINO,11,2023,1,9,23,6,22,0.1891,0.1715,47.97,7,4,HIGH
ANTONIO NARIÑO,CANINO,3,2023,3,6,17,5,25,0.3705,0.3228,38.9,10,5,MEDIUM
BARRIOS UNIDOS,FELINO,8,2022,1,10,13,3,19,0.4343,0.3678,36.05,4,1,MEDIUM
ANTONIO NARIÑO,FELINO,12,2024,3,11,18,4,26,0.2599,0.3014,47.87,11,7,HIGH
SAN CRISTÓBAL,CANINO,3,2022,3,10,13,1,27,0.2637,0.168,46.03,4,7,MEDIUM
ENGATIVÁ,CANINO,10,2024,3,4,6,1,10,0.6024,0.3861,24.1,5,6,LOW
TEUSAQUILLO,CANINO,8,2023,4,6,12,2,14,0.5925,0.435,18.77,5,4,LOW
KENNEDY,FELINO,6,2022,1,18,21,6,33,0.1309,0.2403,48.08,12,9,HIGH
BOSA,CANINO,10,2024,1,13,17,5,17,0.2159,0.2878,56.91,17,10,HIGH
BOSA,FELINO,4,2022,2,17,13,2,35,0.1972,0.34,59.82,9,5,HIGH
KENNEDY,FELINO,2,2024,1,13,16,3,27,0.0752,0.2036,56.57,9,6,HIGH
SUBA,FELINO,10,2024,4,2,8,1,11,0.6457,0.4145,24.97,8,5,LOW
CIUDAD BOLÍVAR,CANINO,6,2024,1,19,15,2,15,0.2196,0.2074,46.75,11,7,MEDIUM
LOS MÁRTIRES,CANINO,6,2022,3,21,11,3,18,0.2147,0.2812,48.83,10,7,MEDIUM
ANTONIO NARIÑO,CANINO,1,2024,3,14,15,4,29,0.2195,0.3188,42.58,15,7,HIGH
USME,CANINO,1,2023,2,12,19,6,31,0.02,0.2165,52.09,10,8,HIGH
BOSA,CANINO,12,2023,2,13,14,4,38,0.0974,0.2279,55.0,11,11,HIGH
TEUSAQUILLO,CANINO,11,2024,3,8,8,1,6,0.739,0.3925,19.75,6,2,LOW
TUNJUELITO,CANINO,1,2022,1,13,20,5,34,0.128,0.2557,53.19,19,7,HIGH
LA CANDELARIA,FELINO,9,2024,4,2,10,0,13,0.6264,0.4085,21.59,2,5,LOW
ANTONIO NARIÑO,CANINO,4,2024,3,7,5,2,15,0.4649,0.3581,32.47,8,4,MEDIUM
CIUDAD BOLÍVAR,FELINO,11,2023,1,10,18,2,35,0.1,0.11,54.89,18,3,HIGH
SAN CRISTÓBAL,FELINO,7,2022,2,10,23,6,33,0.1824,0.2832,53.45,14,9,HIGH
BARRIOS UNIDOS,CANINO,11,2023,3,6,10,1,19,0.4886,0.3202,31.78,3,4,MEDIUM
SAN CRISTÓBAL,CANINO,1,2022,2,14,20,8,29,0.1438,0.1382,52.3,15,11,HIGH
KENNEDY,CANINO,3,2022,2,19,17,4,18,0.1305,0.1142,58.79,8,6,HIGH
PUENTE ARANDA,CANINO,3,2023,2,8,18,4,22,0.3508,0.2666,41.89,10,3,MEDIUM
SANTA FE,CANINO,7,2024,3,10,22,7,17,0.3714,0.2736,29.0,15,7,MEDIUM
SUBA,CANINO,4,2023,4,10,7,2,16,0.6323,0.3742,26.1,5,5,LOW
SAN CRISTÓBAL,CANINO,12,2024,1,9,13,3,26,0.0909,0.2099,55.12,19,11,HIGH
LOS MÁRTIRES,CANINO,11,2022,2,11,20,8,25,0.2404,0.2959,42.47,8,3,MEDIUM
RAFAEL URIBE URIBE,FELINO,2,2024,3,20,15,4,27,0.2968,0.1749,43.9,15,10,MEDIUM
USME,CANINO,8,2022,2,9,13,3,26,0.1323,0.1007,51.19,11,7,HIGH
KENNEDY,CANINO,3,2024,1,16,14,6,31,0.2327,0.1473,51.51,15,5,HIGH
LOS MÁRTIRES,CANINO,3,2024,4,6,12,5,33,0.2516,0.2054,40.48,14,5,MEDIUM
ENGATIVÁ,CANINO,1,2023,2,7,11,1,27,0.3578,0.3403,48.19,8,3,MEDIUM
BOSA,CANINO,9,2023,2,18,11,1,22,0.2375,0.2789,43.68,12,9,MEDIUM
CIUDAD BOLÍVAR,CANINO,2,2022,2,10,11,3,40,0.1411,0.0967,53.1,10,8,HIGH
FONTIBÓN,CANINO,11,2023,4,3,4,0,20,0.5171,0.2802,33.7,5,4,MEDIUM
LOS MÁRTIRES,CANINO,6,2024,2,12,17,3,25,0.2143,0.2425,48.65,12,4,HIGH
BARRIOS UNIDOS,CANINO,7,2024,4,7,13,1,16,0.4569,0.3903,34.87,5,3,MEDIUM
TEUSAQUILLO,CANINO,3,2022,3,5,6,0,10,0.7108,0.5545,20.9,4,8,LOW
ANTONIO NARIÑO,CANINO,10,2023,3,11,7,0,20,0.5035,0.3001,32.78,9,10,MEDIUM
BARRIOS UNIDOS,CANINO,1,2022,2,6,10,1,23,0.3842,0.2875,36.05,12,4,MEDIUM
BOSA,CANINO,3,2023,1,15,18,5,26,0.1539,0.2106,45.96,12,7,HIGH
PUENTE ARANDA,CANINO,1,2022,1,13,16,3,21,0.2584,0.3879,43.99,16,2,HIGH
USME,CANINO,4,2024,2,12,16,3,15,0.2233,0.1693,40.87,11,6,MEDIUM
LOS MÁRTIRES,CANINO,1,2024,2,16,15,7,25,0.2268,0.2287,52.38,3,6,HIGH
TUNJUELITO,CANINO,4,2022,4,7,16,9,22,0.1969,0.2783,44.7,12,6,MEDIUM
BOSA,FELINO,1,2023,3,12,28,8,31,0.0355,0.2586,59.07,20,8,HIGH
ANTONIO NARIÑO,CANINO,5,2023,2,7,9,2,18,0.4658,0.3654,31.22,16,4,MEDIUM
SAN CRISTÓBAL,FELINO,12,2023,1,12,24,9,28,0.0723,0.229,59.75,13,4,HIGH
LOS MÁRTIRES,CANINO,10,2023,3,18,15,3,32,0.2433,0.3378,41.32,8,9,MEDIUM
BOSA,FELINO,4,2023,1,16,19,6,27,0.1517,0.1453,50.51,14,4,HIGH
SAN CRISTÓBAL,CANINO,1,2024,1,15,16,3,19,0.0367,0.135,56.67,22,4,HIGH
ANTONIO NARIÑO,CANINO,3,2023,2,3,14,5,13,0.445,0.2995,36.53,8,5,MEDIUM
SAN CRISTÓBAL,CANINO,10,2023,2,8,15,4,28,0.2777,0.2129,45.59,11,7,MEDIUM
KENNEDY,CANINO,10,2024,1,14,5,4,22,0.1888,0.2412,52.73,9,8,MEDIUM
PUENTE ARANDA,CANINO,5,2023,3,7,6,2,12,0.4255,0.3391,42.49,3,3,MEDIUM
SANTA FE,FELINO,2,2023,4,3,17,7,24,0.4193,0.3406,38.28,8,4,MEDIUM
BOSA,CANINO,10,2023,1,16,19,6,22,0.1991,0.3281,48.17,15,10,HIGH
PUENTE ARANDA,CANINO,12,2024,3,6,18,6,26,0.2463,0.2891,44.61,13,7,HIGH
KENNEDY,FELINO,8,2023,1,8,17,3,33,0.1232,0.3137,57.36,14,9,HIGH
SANTA FE,CANINO,11,2023,2,5,16,5,17,0.4297,0.2547,34.0,5,9,MEDIUM
SAN CRISTÓBAL,FELINO,9,2023,2,14,17,7,24,0.171,0.1871,44.13,9,4,HIGH
ENGATIVÁ,FELINO,8,2024,3,9,13,2,12,0.4867,0.3981,32.68,5,3,MEDIUM
ANTONIO NARIÑO,CANINO,10,2022,4,6,9,0,10,0.3138,0.3686,39.33,9,10,MEDIUM
CIUDAD BOLÍVAR,CANINO,8,2024,2,15,19,8,27,0.0765,0.2001,56.27,17,4,HIGH
KENNEDY,FELINO,6,2024,3,17,16,7,30,0.0894,0.2724,60.38,13,5,HIGH
KENNEDY,FELINO,2,2024,2,10,13,5,22,0.0926,0.2052,55.41,13,7,HIGH
KENNEDY,FELINO,1,2023,1,15,18,1,31,0.0692,0.2406,61.99,13,4,HIGH
TEUSAQUILLO,CANINO,9,2023,3,12,9,3,17,0.5082,0.3069,22.88,3,4,MEDIUM
FONTIBÓN,CANINO,5,2022,4,4,9,4,12,0.5848,0.3388,23.86,7,5,LOW
SAN CRISTÓBAL,FELINO,11,2023,2,12,21,7,24,0.2799,0.1496,50.7,12,5,HIGH
FONTIBÓN,CANINO,5,2024,3,6,8,1,19,0.5194,0.3261,28.67,9,5,MEDIUM
BOSA,CANINO,2,2023,2,14,21,5,29,0.1654,0.1345,51.22,10,7,HIGH
KENNEDY,CANINO,1,2023,2,20,29,11,42,0.0674,0.3246,56.46,18,5,HIGH
LOS MÁRTIRES,CANINO,1,2023,1,14,17,4,27,0.1746,0.2541,51.39,12,12,HIGH
TUNJUELITO,CANINO,9,2022,2,8,21,3,37,0.2493,0.2636,48.65,7,9,HIGH
BOSA,CANINO,9,2024,1,14,20,6,19,0.1825,0.3254,45.73,17,5,HIGH
BARRIOS UNIDOS,CANINO,1,2023,3,9,14,7,14,0.5035,0.395,40.63,9,5,MEDIUM
CIUDAD BOLÍVAR,FELINO,2,2023,2,15,12,4,26,0.1106,0.1253,53.78,18,8,HIGH
SANTA FE,CANINO,8,2024,2,10,8,0,21,0.4062,0.3148,34.68,8,8,MEDIUM
SAN CRISTÓBAL,FELINO,7,2023,1,15,22,3,35,0.1064,0.2435,60.4,17,10,HIGH
SUBA,CANINO,2,2024,2,7,11,3,14,0.5601,0.3692,29.13,11,4,MEDIUM
KENNEDY,CANINO,10,2024,1,20,25,11,31,0.0222,0.2485,57.3,9,4,HIGH
PUENTE ARANDA,CANINO,9,2023,3,7,11,3,17,0.3742,0.3786,33.18,7,4,MEDIUM
KENNEDY,CANINO,10,2024,2,13,22,8,29,0.2076,0.3137,50.13,12,6,HIGH
TUNJUELITO,CANINO,12,2024,1,17,21,6,33,0.1629,0.3125,50.77,16,4,HIGH
RAFAEL URIBE URIBE,CANINO,3,2024,3,12,12,4,19,0.2055,0.2077,46.7,7,5,MEDIUM
LOS MÁRTIRES,CANINO,4,2023,1,10,20,5,25,0.3522,0.2997,41.01,5,9,MEDIUM
KENNEDY,FELINO,9,2024,2,11,22,8,23,0.1331,0.2178,48.17,6,5,HIGH
SUBA,CANINO,2,2023,3,4,6,1,15,0.5018,0.3916,29.6,8,3,MEDIUM
USME,CANINO,8,2023,2,10,19,7,33,0.134,0.189,47.55,14,4,HIGH
BOSA,FELINO,7,2022,1,17,20,6,32,0.0686,0.2137,55.72,21,8,HIGH
RAFAEL URIBE URIBE,CANINO,4,2024,3,12,22,4,17,0.2396,0.2629,47.18,13,8,HIGH
SANTA FE,FELINO,1,2022,2,6,16,4,25,0.2621,0.2849,44.56,9,3,MEDIUM
TUNJUELITO,FELINO,2,2022,1,10,20,6,27,0.2856,0.3731,47.07,6,10,MEDIUM
BOSA,CANINO,11,2023,1,13,22,2,29,0.1074,0.1695,60.64,11,7,HIGH
ENGATIVÁ,CANINO,4,2023,3,4,13,4,14,0.5693,0.3549,25.6,6,6,LOW
ANTONIO NARIÑO,CANINO,12,2024,1,17,12,3,22,0.2847,0.359,46.66,12,7,MEDIUM
BARRIOS UNIDOS,CANINO,4,2023,4,3,9,2,12,0.5908,0.3692,17.71,8,4,LOW
CIUDAD BOLÍVAR,FELINO,3,2022,2,10,17,7,35,0.0932,0.0908,54.12,13,3,HIGH
FONTIBÓN,FELINO,3,2024,3,8,9,4,20,0.4112,0.3915,30.96,9,3,MEDIUM
KENNEDY,FELINO,1,2024,1,25,22,7,38,0.0615,0.3191,59.22,16,10,HIGH
TUNJUELITO,FELINO,11,2024,3,9,22,3,22,0.417,0.2458,42.25,13,7,MEDIUM
BOSA,FELINO,7,2024,3,17,17,7,32,0.024,0.3816,60.13,19,6,HIGH
CHAPINERO,FELINO,9,2023,4,2,7,1,12,0.7021,0.5871,20.61,2,5,LOW
LOS MÁRTIRES,CANINO,7,2022,2,11,18,6,30,0.2007,0.3236,49.04,10,6,HIGH
BOSA,CANINO,11,2022,1,7,20,7,33,0.2206,0.3387,53.22,14,6,HIGH
LA CANDELARIA,CANINO,10,2023,5,2,3,0,11,0.7873,0.4049,16.68,5,8,LOW
LA CANDELARIA,FELINO,5,2024,5,5,10,1,8,0.6076,0.4287,22.83,6,1,LOW
SUMAPAZ,FELINO,6,2023,5,1,7,0,15,0.595,0.2159,14.53,5,6,LOW
FONTIBÓN,FELINO,8,2023,3,3,12,2,15,0.3845,0.3562,41.88,5,2,MEDIUM
CIUDAD BOLÍVAR,FELINO,6,2023,1,11,20,4,29,0.1377,0.2548,61.37,17,11,HIGH
RAFAEL URIBE URIBE,FELINO,8,2024,1,13,19,8,25,0.2437,0.1499,42.36,8,4,HIGH
KENNEDY,FELINO,11,2024,1,14,20,5,24,0.1301,0.1301,53.71,15,9,HIGH
PUENTE ARANDA,CANINO,10,2023,2,9,9,1,21,0.4739,0.2742,34.11,5,8,MEDIUM
KENNEDY,CANINO,1,2022,1,17,12,4,30,0.0257,0.2808,59.38,16,3,HIGH
FONTIBÓN,FELINO,1,2023,2,13,12,2,20,0.3461,0.3368,35.85,8,5,MEDIUM
PUENTE ARANDA,CANINO,1,2023,1,6,14,7,35,0.2018,0.2835,50.63,7,5,HIGH
RAFAEL URIBE URIBE,CANINO,1,2022,2,16,21,5,27,0.1408,0.2408,60.75,20,7,HIGH
BOSA,CANINO,5,2023,2,16,16,6,31,0.177,0.2471,44.94,12,7,HIGH
BOSA,FELINO,10,2023,2,10,5,1,24,0.212,0.2661,43.53,16,10,MEDIUM
TUNJUELITO,FELINO,7,2024,1,6,15,6,32,0.0966,0.2797,51.21,13,9,HIGH
TUNJUELITO,FELINO,6,2024,1,12,18,1,31,0.2218,0.2261,46.35,10,6,HIGH
KENNEDY,FELINO,11,2022,1,25,19,4,33,0.0888,0.2519,57.62,17,8,HIGH
USME,CANINO,2,2024,2,8,20,5,39,0.1477,0.1691,49.04,4,8,HIGH
FONTIBÓN,CANINO,6,2023,2,10,16,8,10,0.5001,0.4341,30.18,3,3,MEDIUM
PUENTE ARANDA,CANINO,5,2024,3,9,14,2,20,0.444,0.3734,36.3,6,3,MEDIUM
PUENTE ARANDA,CANINO,6,2023,4,11,21,7,23,0.3942,0.3023,35.57,8,5,MEDIUM
BARRIOS UNIDOS,FELINO,9,2024,4,4,12,4,17,0.581,0.3535,26.22,4,1,MEDIUM
SANTA FE,FELINO,6,2023,1,4,19,5,18,0.3452,0.3471,40.91,3,7,MEDIUM
PUENTE ARANDA,CANINO,8,2022,2,8,21,8,20,0.2848,0.3634,38.31,17,5,MEDIUM
SUBA,FELINO,6,2023,2,9,8,3,20,0.5154,0.4112,37.72,9,4,MEDIUM
KENNEDY,FELINO,3,2024,2,12,18,9,27,0.1323,0.2505,53.14,16,4,HIGH
CHAPINERO,FELINO,2,2024,4,1,5,0,4,0.711,0.5457,15.77,1,2,LOW
TEUSAQUILLO,CANINO,3,2024,4,7,5,2,12,0.6158,0.4649,21.57,8,3,LOW
TUNJUELITO,FELINO,12,2024,1,13,17,2,22,0.1251,0.3027,52.58,9,5,HIGH
SUBA,CANINO,4,2024,4,9,10,2,21,0.5962,0.3739,32.36,9,6,MEDIUM
LOS MÁRTIRES,CANINO,11,2023,3,6,12,2,25,0.3387,0.2581,37.49,12,12,MEDIUM
USME,FELINO,1,2024,2,16,17,3,28,0.0269,0.2047,55.09,14,2,HIGH
BOSA,CANINO,1,2022,1,18,29,9,30,0.0774,0.2554,54.27,11,5,HIGH
BOSA,CANINO,3,2024,2,9,15,6,26,0.1516,0.233,50.75,14,5,HIGH
BOSA,CANINO,1,2023,2,16,15,5,29,0.02,0.1956,58.6,10,6,HIGH
FONTIBÓN,FELINO,2,2024,2,8,9,4,21,0.3958,0.3195,39.5,8,7,MEDIUM
BOSA,CANINO,6,2024,2,11,12,4,28,0.102,0.2264,51.36,16,7,HIGH
LOS MÁRTIRES,CANINO,8,2022,2,9,16,3,20,0.2257,0.3014,45.95,14,6,HIGH
LOS MÁRTIRES,CANINO,12,2024,2,12,26,10,27,0.1314,0.2832,48.11,12,5,HIGH
USME,FELINO,2,2024,1,15,19,6,26,0.0355,0.1594,46.79,16,8,HIGH
BOSA,CANINO,4,2022,1,21,19,6,38,0.1023,0.1896,53.91,8,8,HIGH
LA CANDELARIA,CANINO,12,2023,3,6,14,4,11,0.5254,0.4041,33.95,10,8,MEDIUM
LOS MÁRTIRES,CANINO,5,2022,3,14,15,3,24,0.3657,0.309,39.14,7,10,MEDIUM
LA CANDELARIA,CANINO,11,2023,2,4,9,2,11,0.6101,0.3637,23.99,8,4,LOW
ENGATIVÁ,CANINO,8,2023,2,12,5,1,16,0.3471,0.3108,37.85,14,3,MEDIUM
TEUSAQUILLO,FELINO,3,2024,4,8,7,1,14,0.5515,0.3899,16.24,9,5,LOW
RAFAEL URIBE URIBE,CANINO,11,2024,2,8,14,2,25,0.1415,0.2529,45.42,10,6,MEDIUM
PUENTE ARANDA,CANINO,1,2022,1,8,12,1,20,0.2632,0.299,43.44,6,6,MEDIUM
SAN CRISTÓBAL,CANINO,1,2022,1,17,19,6,35,0.02,0.1891,57.96,14,9,HIGH
RAFAEL URIBE URIBE,CANINO,7,2024,2,5,17,6,28,0.1444,0.2658,45.43,8,5,HIGH
USME,CANINO,11,2023,1,14,14,1,28,0.1592,0.1146,49.6,11,8,HIGH
TUNJUELITO,FELINO,9,2024,3,8,18,8,19,0.2067,0.1855,49.5,20,8,MEDIUM
TEUSAQUILLO,CANINO,12,2024,3,9,8,3,14,0.5109,0.4394,37.83,13,3,MEDIUM
LOS MÁRTIRES,CANINO,3,2023,2,7,12,1,36,0.2449,0.2692,41.93,10,7,MEDIUM
FONTIBÓN,FELINO,6,2023,3,6,12,3,20,0.4906,0.4244,28.6,10,3,MEDIUM
USME,CANINO,4,2022,2,7,13,2,29,0.1795,0.1509,47.27,12,9,MEDIUM
BOSA,FELINO,7,2024,1,17,24,9,41,0.0834,0.2209,55.82,10,8,HIGH
SAN CRISTÓBAL,CANINO,10,2022,3,9,15,4,24,0.2922,0.1748,41.24,12,9,MEDIUM
TEUSAQUILLO,CANINO,6,2024,3,2,13,0,8,0.5285,0.4903,29.28,5,9,MEDIUM
SANTA FE,CANINO,7,2023,2,9,11,3,25,0.3261,0.2479,38.4,4,3,MEDIUM
BARRIOS UNIDOS,CANINO,5,2024,3,5,8,1,16,0.6167,0.4111,24.43,7,3,LOW
PUENTE ARANDA,CANINO,4,2024,5,10,12,2,14,0.4779,0.3376,31.85,11,7,MEDIUM
BOSA,CANINO,9,2023,2,13,20,7,29,0.1845,0.2872,52.18,8,12,HIGH
CIUDAD BOLÍVAR,FELINO,9,2023,1,16,17,5,35,0.0964,0.1751,56.0,9,3,HIGH
SUMAPAZ,CANINO,10,2024,5,1,4,0,16,0.7331,0.1056,1.0,0,8,LOW
ENGATIVÁ,CANINO,11,2024,4,7,17,10,20,0.4854,0.3719,31.33,12,4,MEDIUM
BARRIOS UNIDOS,CANINO,2,2024,4,6,10,2,10,0.4861,0.4321,33.09,6,4,MEDIUM
BARRIOS UNIDOS,CANINO,5,2023,4,2,6,0,11,0.6173,0.3767,24.51,3,4,LOW
CHAPINERO,FELINO,11,2023,5,1,1,0,7,0.8545,0.4882,14.79,2,1,LOW
PUENTE ARANDA,FELINO,9,2022,5,12,8,1,21,0.4148,0.289,31.03,6,6,MEDIUM
SANTA FE,FELINO,9,2024,4,3,15,7,17,0.3928,0.2982,31.67,4,7,MEDIUM
FONTIBÓN,CANINO,2,2024,1,6,11,1,24,0.3925,0.3543,37.35,11,7,MEDIUM
PUENTE ARANDA,CANINO,2,2024,3,10,23,7,21,0.3483,0.4094,39.39,14,2,MEDIUM
SAN CRISTÓBAL,FELINO,2,2023,2,15,26,8,21,0.1513,0.285,52.66,9,8,HIGH
LA CANDELARIA,CANINO,7,2023,3,7,14,2,21,0.4997,0.3885,32.1,7,4,MEDIUM
CIUDAD BOLÍVAR,FELINO,2,2023,2,16,17,4,24,0.1351,0.2249,52.33,12,7,HIGH
TUNJUELITO,FELINO,12,2022,2,8,20,7,21,0.0911,0.2946,57.13,13,5,HIGH
SAN CRISTÓBAL,FELINO,1,2023,1,16,22,4,34,0.1208,0.1544,47.54,15,8,HIGH
SANTA FE,CANINO,5,2024,3,9,11,3,21,0.5188,0.301,27.77,2,2,MEDIUM
BOSA,CANINO,12,2024,1,14,20,6,23,0.1037,0.2623,60.43,17,3,HIGH
CIUDAD BOLÍVAR,CANINO,5,2024,1,11,26,8,30,0.1164,0.1854,52.11,19,5,HIGH
PUENTE ARANDA,FELINO,11,2022,4,6,11,2,25,0.3591,0.3636,42.75,13,6,MEDIUM
BOSA,FELINO,7,2023,1,18,20,10,27,0.1796,0.2541,58.58,13,3,HIGH
RAFAEL URIBE URIBE,FELINO,11,2022,2,8,19,5,21,0.2662,0.1924,43.55,12,5,MEDIUM
KENNEDY,CANINO,5,2023,2,17,18,9,22,0.1852,0.2867,50.55,12,7,HIGH
USME,FELINO,6,2023,2,8,17,2,24,0.1631,0.1631,48.36,17,10,HIGH
TUNJUELITO,CANINO,2,2023,2,12,16,6,27,0.2033,0.2782,42.77,14,4,HIGH
TUNJUELITO,CANINO,10,2022,2,11,11,4,25,0.2746,0.2154,41.45,10,6,MEDIUM
LOS MÁRTIRES,FELINO,4,2024,3,9,15,4,29,0.2962,0.2541,37.27,9,4,MEDIUM
USAQUÉN,CANINO,5,2022,4,7,3,1,7,0.7495,0.5039,16.34,4,1,LOW
KENNEDY,CANINO,8,2023,1,13,24,7,27,0.2468,0.2544,50.63,10,7,HIGH
SAN CRISTÓBAL,CANINO,6,2024,2,15,17,5,30,0.232,0.231,53.78,18,7,HIGH
FONTIBÓN,CANINO,2,2024,2,6,18,4,17,0.3521,0.3284,36.84,11,3,MEDIUM
CIUDAD BOLÍVAR,FELINO,11,2022,1,17,22,5,25,0.1165,0.1581,54.07,11,11,HIGH
FONTIBÓN,CANINO,9,2022,2,8,12,3,16,0.4237,0.2291,34.96,7,3,MEDIUM
SAN CRISTÓBAL,CANINO,5,2024,3,8,21,7,33,0.2355,0.3157,49.05,9,4,HIGH
TEUSAQUILLO,CANINO,7,2023,4,7,10,3,15,0.4834,0.4436,28.88,6,2,MEDIUM
BOSA,CANINO,7,2024,1,17,16,4,28,0.0591,0.2794,57.22,5,6,HIGH
LOS MÁRTIRES,CANINO,1,2022,2,8,16,2,28,0.1227,0.2596,55.83,10,3,HIGH
BOSA,CANINO,8,2022,1,15,16,5,33,0.1305,0.1559,55.09,11,3,HIGH
BOSA,CANINO,3,2024,1,18,23,8,26,0.075,0.266,45.36,13,8,HIGH
ENGATIVÁ,FELINO,7,2022,3,4,12,2,16,0.4718,0.3677,44.6,11,4,MEDIUM
PUENTE ARANDA,CANINO,12,2024,1,13,16,2,27,0.1611,0.3389,45.88,11,7,HIGH
RAFAEL URIBE URIBE,FELINO,10,2024,2,13,8,2,30,0.2704,0.1813,44.52,10,10,MEDIUM
RAFAEL URIBE URIBE,CANINO,2,2023,3,7,17,4,17,0.3316,0.2404,40.95,14,13,MEDIUM
LOS MÁRTIRES,FELINO,10,2023,3,9,9,0,26,0.3774,0.2432,31.53,10,6,MEDIUM
ANTONIO NARIÑO,FELINO,1,2022,1,14,17,5,19,0.2593,0.1952,54.51,15,5,HIGH
PUENTE ARANDA,CANINO,5,2023,2,8,13,3,22,0.3458,0.3568,34.4,10,8,MEDIUM
CIUDAD BOLÍVAR,FELINO,8,2022,1,19,16,6,39,0.0621,0.1207,57.15,19,9,HIGH
TUNJUELITO,FELINO,8,2023,2,8,16,3,16,0.2609,0.2943,46.54,13,6,MEDIUM
USME,FELINO,11,2023,2,9,22,6,31,0.1808,0.1656,46.72,10,6,HIGH
USME,CANINO,7,2022,3,11,16,4,20,0.02,0.1293,55.12,11,14,HIGH
SUBA,CANINO,12,2022,3,11,11,5,16,0.4635,0.4269,34.73,5,7,MEDIUM
LA CANDELARIA,CANINO,1,2024,3,6,11,2,15,0.6347,0.4161,25.01,5,3,LOW
LA CANDELARIA,CANINO,7,2022,3,8,11,5,11,0.5174,0.3419,28.53,10,4,MEDIUM
BOSA,FELINO,4,2023,2,15,20,3,19,0.1701,0.3059,49.52,5,5,HIGH
LOS MÁRTIRES,CANINO,12,2023,2,12,17,4,22,0.1319,0.2761,53.47,15,4,HIGH
ANTONIO NARIÑO,CANINO,10,2024,3,6,8,2,20,0.4459,0.2957,37.4,7,5,MEDIUM
BARRIOS UNIDOS,FELINO,3,2022,3,3,6,2,9,0.5877,0.285,18.21,4,1,LOW
ANTONIO NARIÑO,CANINO,5,2023,3,6,16,1,14,0.3957,0.306,34.16,5,5,MEDIUM
LOS MÁRTIRES,CANINO,1,2024,1,14,12,1,24,0.2121,0.3382,45.95,10,2,MEDIUM
RAFAEL URIBE URIBE,FELINO,9,2022,1,11,9,4,24,0.2757,0.1698,42.44,8,9,MEDIUM
RAFAEL URIBE URIBE,CANINO,10,2024,2,5,22,3,23,0.3298,0.2662,37.64,6,6,MEDIUM
BARRIOS UNIDOS,CANINO,9,2023,5,6,10,5,20,0.483,0.4488,30.86,9,5,MEDIUM
LOS MÁRTIRES,CANINO,9,2022,3,9,17,3,18,0.3554,0.329,36.91,10,5,MEDIUM
BOSA,CANINO,3,2024,1,13,24,10,28,0.102,0.1842,49.79,7,9,HIGH
PUENTE ARANDA,CANINO,1,2023,1,14,21,5,22,0.2229,0.3001,45.63,10,4,MEDIUM
USME,CANINO,7,2022,3,10,21,2,34,0.101,0.1795,54.99,11,7,HIGH
BARRIOS UNIDOS,FELINO,5,2024,2,9,8,4,12,0.6229,0.3452,28.16,4,1,LOW
CIUDAD BOLÍVAR,FELINO,12,2024,1,15,16,4,27,0.1311,0.2799,49.59,12,3,HIGH
CIUDAD BOLÍVAR,FELINO,7,2024,3,14,18,5,38,0.0306,0.2188,63.31,23,9,HIGH
FONTIBÓN,CANINO,8,2023,2,7,9,3,21,0.4197,0.4365,29.0,11,10,MEDIUM
TUNJUELITO,CANINO,2,2024,2,12,17,2,21,0.1967,0.2405,49.38,16,9,HIGH
FONTIBÓN,CANINO,1,2023,3,11,14,1,14,0.3602,0.4364,41.11,5,4,MEDIUM
PUENTE ARANDA,CANINO,5,2023,2,4,7,1,18,0.4554,0.2607,28.28,5,2,MEDIUM
FONTIBÓN,CANINO,4,2023,2,5,6,1,16,0.4835,0.3492,32.95,6,4,MEDIUM
SAN CRISTÓBAL,FELINO,2,2023,2,5,17,6,24,0.1659,0.2645,44.5,14,6,HIGH
RAFAEL URIBE URIBE,CANINO,10,2023,2,9,11,3,25,0.2486,0.2678,43.11,12,8,MEDIUM
BOSA,CANINO,5,2023,1,13,21,2,26,0.1766,0.264,44.78,16,4,HIGH
BOSA,CANINO,5,2023,2,14,24,6,36,0.22,0.1733,46.15,17,16,HIGH
